record_id,reference_stage,yasa_stage,pair_type,epoch_count,pct_record_epochs
SC4001,N1,N1,agreement,18,0.6792452830188679
SC4001,N1,N2,discrepancy,22,0.8301886792452831
SC4001,N1,N3,discrepancy,2,0.07547169811320754
SC4001,N1,WAKE,discrepancy,16,0.6037735849056604
SC4001,N2,N1,discrepancy,12,0.4528301886792453
SC4001,N2,N2,agreement,196,7.39622641509434
SC4001,N2,N3,discrepancy,33,1.2452830188679245
SC4001,N2,REM,discrepancy,1,0.03773584905660377
SC4001,N2,WAKE,discrepancy,8,0.3018867924528302
SC4001,N3,N1,discrepancy,1,0.03773584905660377
SC4001,N3,N2,discrepancy,12,0.4528301886792453
SC4001,N3,N3,agreement,154,5.811320754716981
SC4001,N3,REM,discrepancy,2,0.07547169811320754
SC4001,N3,WAKE,discrepancy,51,1.9245283018867922
SC4001,REM,N1,discrepancy,26,0.9811320754716981
SC4001,REM,N2,discrepancy,13,0.49056603773584906
SC4001,REM,N3,discrepancy,7,0.2641509433962264
SC4001,REM,REM,agreement,29,1.0943396226415094
SC4001,REM,WAKE,discrepancy,50,1.8867924528301887
SC4001,WAKE,N1,discrepancy,33,1.2452830188679245
SC4001,WAKE,N2,discrepancy,111,4.188679245283019
SC4001,WAKE,N3,discrepancy,2,0.07547169811320754
SC4001,WAKE,REM,discrepancy,188,7.09433962264151
SC4001,WAKE,WAKE,agreement,1663,62.75471698113208
SC4011,N1,N1,agreement,58,2.0699500356887937
SC4011,N1,N2,discrepancy,12,0.4282655246252677
SC4011,N1,N3,discrepancy,1,0.03568879371877231
SC4011,N1,REM,discrepancy,19,0.6780870806566739
SC4011,N1,WAKE,discrepancy,19,0.6780870806566739
SC4011,N2,N1,discrepancy,34,1.2134189864382585
SC4011,N2,N2,agreement,468,16.70235546038544
SC4011,N2,N3,discrepancy,32,1.1420413990007139
SC4011,N2,REM,discrepancy,20,0.7137758743754461
SC4011,N2,WAKE,discrepancy,8,0.28551034975017847
SC4011,N3,N2,discrepancy,1,0.03568879371877231
SC4011,N3,N3,agreement,103,3.675945753033547
SC4011,N3,WAKE,discrepancy,1,0.03568879371877231
SC4011,REM,N1,discrepancy,17,0.6067094932191293
SC4011,REM,N2,discrepancy,1,0.03568879371877231
SC4011,REM,N3,discrepancy,22,0.7851534618129907
SC4011,REM,REM,agreement,123,4.389721627408994
SC4011,REM,WAKE,discrepancy,7,0.24982155603140616
SC4011,WAKE,N1,discrepancy,9,0.32119914346895073
SC4011,WAKE,N2,discrepancy,183,6.5310492505353315
SC4011,WAKE,N3,discrepancy,38,1.3561741613133478
SC4011,WAKE,REM,discrepancy,381,13.597430406852249
SC4011,WAKE,WAKE,agreement,1245,44.432548179871524
SC4021,N1,N1,agreement,25,0.891583452211127
SC4021,N1,N2,discrepancy,7,0.24964336661911554
SC4021,N1,REM,discrepancy,13,0.46362339514978607
SC4021,N1,WAKE,discrepancy,49,1.747503566333809
SC4021,N2,N1,discrepancy,23,0.8202567760342369
SC4021,N2,N2,agreement,381,13.587731811697576
SC4021,N2,N3,discrepancy,127,4.5292439372325255
SC4021,N2,REM,discrepancy,9,0.3209700427960057
SC4021,N2,WAKE,discrepancy,5,0.1783166904422254
SC4021,N3,N2,discrepancy,4,0.14265335235378032
SC4021,N3,N3,agreement,90,3.209700427960057
SC4021,N3,WAKE,discrepancy,1,0.03566333808844508
SC4021,REM,N1,discrepancy,34,1.2125534950071328
SC4021,REM,N2,discrepancy,15,0.5349500713266762
SC4021,REM,N3,discrepancy,1,0.03566333808844508
SC4021,REM,REM,agreement,107,3.815977175463623
SC4021,REM,WAKE,discrepancy,6,0.21398002853067047
SC4021,WAKE,N1,discrepancy,9,0.3209700427960057
SC4021,WAKE,N2,discrepancy,24,0.8559201141226819
SC4021,WAKE,REM,discrepancy,223,7.9529243937232525
SC4021,WAKE,WAKE,agreement,1651,58.88017118402282
SC4031,N1,N1,agreement,30,1.0638297872340425
SC4031,N1,N2,discrepancy,9,0.3191489361702127
SC4031,N1,REM,discrepancy,7,0.24822695035460995
SC4031,N1,WAKE,discrepancy,15,0.5319148936170213
SC4031,N2,N1,discrepancy,9,0.3191489361702127
SC4031,N2,N2,agreement,354,12.553191489361701
SC4031,N2,N3,discrepancy,109,3.8652482269503547
SC4031,N2,REM,discrepancy,1,0.03546099290780142
SC4031,N2,WAKE,discrepancy,12,0.425531914893617
SC4031,N3,N3,agreement,56,1.9858156028368796
SC4031,N3,WAKE,discrepancy,1,0.03546099290780142
SC4031,REM,N1,discrepancy,21,0.7446808510638299
SC4031,REM,N3,discrepancy,10,0.3546099290780142
SC4031,REM,REM,agreement,174,6.170212765957447
SC4031,REM,WAKE,discrepancy,4,0.14184397163120568
SC4031,WAKE,N1,discrepancy,3,0.10638297872340426
SC4031,WAKE,N2,discrepancy,12,0.425531914893617
SC4031,WAKE,REM,discrepancy,185,6.560283687943262
SC4031,WAKE,WAKE,agreement,1808,64.11347517730496
SC4041,N1,N1,agreement,75,2.919423900350331
SC4041,N1,N2,discrepancy,3,0.11677695601401324
SC4041,N1,N3,discrepancy,1,0.038925652004671074
SC4041,N1,REM,discrepancy,29,1.1288439081354613
SC4041,N1,WAKE,discrepancy,58,2.2576878162709226
SC4041,N2,N1,discrepancy,66,2.5690930323082912
SC4041,N2,N2,agreement,484,18.8400155702608
SC4041,N2,N3,discrepancy,38,1.479174776177501
SC4041,N2,REM,discrepancy,27,1.0509926041261193
SC4041,N2,WAKE,discrepancy,5,0.1946282600233554
SC4041,N3,N2,discrepancy,4,0.1557026080186843
SC4041,N3,N3,agreement,49,1.9073569482288828
SC4041,REM,N1,discrepancy,13,0.506033476060724
SC4041,REM,REM,agreement,163,6.344881276761385
SC4041,REM,WAKE,discrepancy,20,0.7785130400934216
SC4041,WAKE,N1,discrepancy,11,0.42818217205138187
SC4041,WAKE,N2,discrepancy,22,0.8563643441027637
SC4041,WAKE,N3,discrepancy,1,0.038925652004671074
SC4041,WAKE,REM,discrepancy,177,6.8898404048267805
SC4041,WAKE,WAKE,agreement,1323,51.49863760217984
